Sr.No ,Questions ,Answers ,Department ,Sub-Department ,Remarks ,Status
1009,Who approves revisit IMD waiver?,COC and CEO approves revisit IMD waiver,NBFC,Technical Deviation-MSME and LAP,,
1010,How are other unspecified technical deviations treated?,They are treated as critical deviations.,NBFC,Technical Deviation-MSME and LAP,,
1011,What is the criticality for unspecified technical deviations?,criticality for unspecified technical deviations is High.,NBFC,Technical Deviation-MSME and LAP,,
1012,Who must approve other technical deviations?,CEO must approve other technical deviations,NBFC,Technical Deviation-MSME and LAP,,
1013,What deviation occurs when the approach road is through self-owned land?,The approach road to property passes through the owner's self-land.,NBFC,Technical Deviation-MSME and LAP,,
1014,What is the criticality of this deviation occurs when the approach road is through self-owned land?,criticality of this deviation occurs when the approach road is through self-owned land is Low.,NBFC,Technical Deviation-MSME and LAP,,
1015,Who must approve this deviation?,"RTM, HOT, COC, CEO — all can approve based on conditions.",NBFC,Technical Deviation-MSME and LAP,,
1016,Negative Country List for Non-Resident Indian (NRI) Co-Applicant Loan?,"Sao Tome and Principe, Afghanistan, Albania, Algeria, Angola, Benin, Bosnia, Azerbaijan, Burkina Faso, Burundi, C African Republic, Cameroon, Chad, Chechyan Republic, Colombia, Comoros, Democratic Republic of The Congo (Zaire), Djibouti, El Salvador, Equitorial Guinea – Malabo, Eritrea, Ethiopia, Gabon, Macedonia, Solomon Islands, Kyrgyzstan, Papua New Guinea, Laos, Rwanda, Lesotho, Senegal, Liberia, Sierra Leone, Gambia (The Gambia), Madagascar, Somalia, Georgia, Malawi, Sudan, Ghana, Mali, Swaziland, Guatemala, Mauritania, Tajikistan, Guinea, Moldova, Tanzania, Guinea Bissau, Monteserrat, Togo, Guyana, Namibia, Uganda, Haiti, Nicaragua, Uzbekistan, Honduras, Niger, Western Sahara, Iran, Nigeria, Yemen, Iraq, North Korea, Yugoslavia (Serbia), Israel - Westbank, Gaza,
 Jerusalem, Pakistan, Zambia, Ivory Coast, Palestine, Zimbabwe.",NBFC,MSME and LAP Loan Product,,
1017,What is the approval matrix for the Insta Loan scheme?,"Approval required from Central Credit, NCM, COC, and CEO/DCEO.",NBFC,MSME and LAP Loan Product,,
1018,Who can approve deviations under the Milk Trader Loan scheme?,"Deviations can be approved by Central Credit, NCM, COC, and CEO/DCEO.",NBFC,MSME and LAP Loan Product,,
1019,Up to what loan amount can the Central Credit team approve under the Samridhi scheme?,Central Credit can approve deviations ₹15 Lakhs under the Samridhi scheme.,NBFC,MSME and LAP Loan Product,,
1020,At what loan amount does NCM approval become necessary in the Samridhi scheme?,NCM approval is needed for deviations above ₹25 Lakhs in the Samridhi scheme.,NBFC,MSME and LAP Loan Product,,
1021,At what loan amount does COC approval become necessary in the Samridhi scheme?,COC approval is needed for deviations above ₹40 Lakhs in the Samridhi scheme.,NBFC,MSME and LAP Loan Product,,
1022,At what loan amount does CEO/DCEO approval become necessary in the Samridhi scheme?,CEO/DCEO approval is needed for deviations above ₹50 Lakhs in the Samridhi scheme.,NBFC,MSME and LAP Loan Product,,
1023,Is CEO/DCEO approval required for the Pragati scheme?,"No, CEO/DCEO approval is not listed for the Pragati scheme.",NBFC,MSME and LAP Loan Product,,
1024,What roles are involved in approving deviations under the Insta Loan and Milk Trader Loan schemes?,"Central Credit, NCM, COC, and CEO/DCEO are involved in approval.",NBFC,MSME and LAP Loan Product,,
1025,Does the NCM have approval authority in the Pragati scheme?,"Yes, NCM is one of the approving authorities in the Pragati scheme.",NBFC,MSME and LAP Loan Product,,
1026,Does the COC have approval authority in the Pragati scheme?,"Yes, COC is one of the approving authorities in the Pragati scheme.",NBFC,MSME and LAP Loan Product,,
1027,Does the CEO/DCEO have approval authority in the Pragati scheme?,"Yes, CEO/DCEO is one of the approving authorities in the Pragati scheme.",NBFC,MSME and LAP Loan Product,,
1028,Who approves a loan deviation when business profile norms are not met?,"NCM, COC, and CEO/DCEO must approve deviations for cautious business profiles.",NBFC,MSME and LAP Loan Product,,
1029,"If co-borrower or guarantor norms are not met, who needs to approve?","Central Credit, NCM, COC, and CEO/DCEO are all required for approval.",NBFC,MSME and LAP Loan Product,,
1030,What approvals are needed for properties in a negative area?,"NCM, COC, and CEO/DCEO approval is mandatory.",NBFC,MSME and LAP Loan Product,,
1031,"For tenure deviations under the Pragati scheme, who approves?",Only CEO/DCEO can approve tenures up to 120 months under the Pragati scheme.,NBFC,MSME and LAP Loan Product,,
1032,Who can approve extended tenure under the Samridhi scheme?,"NCM can approve up to 144 months, COC up to 180 months, and final approval lies with CEO/DCEO.",NBFC,MSME and LAP Loan Product,,
1033,What is the approval hierarchy for LTV deviations (excluding Insta and Milk Trader)?,"NCM (up to 5%), COC (up to 10%), and CEO/DCEO must approve.",NBFC,MSME and LAP Loan Product,,
1034,What is the process for approving FOIR deviations under documented programs?,"Central Credit (5%), NCM (10%), and COC/CEO/DCEO approvals are required.",NBFC,MSME and LAP Loan Product,,
1035,What approvals are needed for FOIR deviations under non-documented programs?,"Same as documented — Central Credit (5%), NCM (10%), COC, and CEO/DCEO.",NBFC,MSME and LAP Loan Product,,
1036,What happens if CIBIL norms are not met for a borrower?,"The deviation is considered high criticality and must be approved by NCM, COC, and CEO/DCEO.",NBFC,MSME and LAP Loan Product,,
1037,Who can approve a Bureau Score deviation where the score is below 650?,"Central Credit (up to 625), NCM (up to 600), COC, and CEO/DCEO.",NBFC,MSME and LAP Loan Product,,
1038,"What is the minimum Bureau Score for the Pragati scheme, and who approves deviations?","Cut-off is 700; deviations up to 650 require Central Credit approval, up to 600 require NCM, and further need COC and CEO/DCEO.",NBFC,MSME and LAP Loan Product,,
1039,Who approves deviations when RCU/FCU norms are not met?,"Central Credit, NCM, COC, and CEO/DCEO are required for medium criticality.",NBFC,MSME and LAP Loan Product,,
1040,What is the approval process when office or business field investigation norms are not met?,"Central Credit, NCM, COC, and CEO/DCEO all need to approve.",NBFC,MSME and LAP Loan Product,,
1041,What happens when income ownership norms are not met?,"High criticality; only NCM, COC, and CEO/DCEO can approve (Central Credit not involved).",NBFC,MSME and LAP Loan Product,,
1042,"If crime check norms are not met, who must approve?","Central Credit, NCM, COC, and CEO/DCEO are involved.",NBFC,MSME and LAP Loan Product,,
1043,What is the approval requirement if the income contributor is above the age norm?,"Only NCM, COC, and CEO/DCEO can approve—Central Credit is not applicable.",NBFC,MSME and LAP Loan Product,,
1044,Who approves if a non-income contributor or property owner's age exceeds the norm?,"NCM (up to age 75), COC (above age 75), and CEO/DCEO must approve.",NBFC,MSME and LAP Loan Product,,
1045,"If residence field investigation (FI) norms are not met, what is the approval chain?","All levels—Central Credit, NCM, COC, and CEO/DCEO—must approve.",NBFC,MSME and LAP Loan Product,,
1046,What is required when any observation is found in the dedupe check?,"Central Credit, NCM, COC, and CEO/DCEO approval are all necessary.",NBFC,MSME and LAP Loan Product,,
1047,Who approves if business or employment vintage and proof norms are not met?,"All four authorities: Central Credit, NCM, COC, and CEO/DCEO.",NBFC,MSME and LAP Loan Product,,
1048,What is the approval requirement when GEO limit norms are not met under OGL with collection comfort?,"Approval is needed from NCM (within 5 KM), COC (within 10 KM), and CEO/DCEO.",NBFC,MSME and LAP Loan Product,,
1049,Who can approve a deviation when multiplier norms are not met?,"NCM (up to 2.75 times), COC (up to 3 times), and CEO/DCEO must approve.",NBFC,MSME and LAP Loan Product,,
1050,"If margin norms are not met, what is the required approval process?","Approval is needed from NCM, COC, and CEO/DCEO.",NBFC,MSME and LAP Loan Product,,
1051,What is the approval requirement under the GST Return Program if turnover is computed at more than 100% of the GST return?,"NCM (up to 1.5 times), COC, and CEO/DCEO must approve.",NBFC,MSME and LAP Loan Product,,
1052,Who approves insurance-related deviations such as partial or full waiver or tenure adjustments?,"Central Credit (up to 20%), NCM (up to 30%), COC (up to 50%), and CEO/DCEO must approve.",NBFC,MSME and LAP Loan Product,,
1053,What if balance transfer or top-up norms are not met?,"Approval is required from NCM, COC, and CEO/DCEO.",NBFC,MSME and LAP Loan Product,,
1054,What is the approval path when seasoning norms for top-up loans are not met?,"NCM (6–12 months), COC, and CEO/DCEO must approve.",NBFC,MSME and LAP Loan Product,,
1055,Who must approve when any general policy norms are not met?,Only the CEO/DCEO is authorized to approve high-criticality policy deviations.,NBFC,MSME and LAP Loan Product,,
1056,Who is eligible for a top-up loan under MSME and LAP Loan product?,Only existing customers are eligible.,NBFC,MSME and LAP Loan Product,,
1057,What is the minimum EMI seasoning required for a top-up loan under MSME and LAP Loan?,The original loan must have at least 12 months of EMI repayment (seasoning),NBFC,MSME and LAP Loan Product,,
1058,What is the acceptable bounce and DPD history for top-up loan eligibility?,"No bounce in the last 3 months; a maximum of two payment bounces in the past 12 months, with no more than 15 DPD.",NBFC,MSME and LAP Loan Product,,
1059,Is it mandatory to retain all applicants and co-applicants from the original loan in a top-up loan?,"Yes, all applicants and co-applicants of the original loan must be retained.",NBFC,MSME and LAP Loan Product,,
